Stock_IdType,Stock_Id,PriceDate,PriceInstant,PriceCurrency,LastOrMidPrice,Open,High,Low,Close,Volume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume,Dividend,SplitFactor,QuoteTimestamp,LastSaleTimestamp,AskSize,AskPrice,BidPrice,BidSize,LastPrice,LastSize,PrevClosePrice,MidPrice
Ticker,SPN,2020-02-13,,USD,4.66,5.19,5.31,4.64,4.66,156652,5.19,5.31,4.64,4.66,156652,0,,,,,,,,,,,
Ticker,LGF-B,2020-02-13,,USD,9.96,9.82,10.14,9.815,9.96,734141,9.82,10.14,9.815,9.96,734141,0,,,,,,,,,,,
Ticker,PRH,2020-02-13,,USD,26.11,26.21,26.21,26.11,26.11,57536,26.21,26.21,26.11,26.11,57536,0,,,,,,,,,,,
Ticker,AMT,2020-02-13,,USD,256.9,255.62,257.43,254.43,256.9,1146555,255.62,257.43,254.43,256.9,1146555,0,,,,,,,,,,,
Ticker,PRI,2020-02-13,,USD,136.89,132.28,137.36,132,136.89,254421,132.28,137.36,132,136.89,254421,0,,,,,,,,,,,
Ticker,GLT,2020-02-13,,USD,17.29,17.23,17.39,17.09,17.29,102327,17.23,17.39,17.09,17.29,102327,0,,,,,,,,,,,
Ticker,IEC,2020-02-13,,USD,7.84,8.07,8.1804,7.675,7.84,84849,8.07,8.1804,7.675,7.84,84849,0,,,,,,,,,,,
Ticker,CBX,2020-02-13,,USD,1.4,1.4,1.4,1.4,1.4,0,1.4,1.4,1.4,1.4,0,0,,,,,,,,,,,
Ticker,NM-P-G,2020-02-13,,USD,7,7.0001,7.0001,7,7,335,7.0001,7.0001,7,7,335,0,,,,,,,,,,,
Ticker,RNGR,2020-02-13,,USD,7,7.0027,7.06,7,7,3558,7.0027,7.06,7,7,3558,0,,,,,,,,,,,
Ticker,RY,2020-02-13,,USD,81.61,81.24,81.75,81.13,81.61,514574,81.24,81.75,81.13,81.61,514574,0,,,,,,,,,,,
Ticker,AI,2020-02-13,,USD,5.9,5.83,5.9,5.83,5.9,196548,5.83,5.9,5.83,5.9,196548,0,,,,,,,,,,,
Ticker,MTR,2020-02-13,,USD,7.15,7.33,7.33,7.1,7.15,2642,7.33,7.33,7.1,7.15,2642,0,,,,,,,,,,,
Ticker,DLR-P-J,2020-02-13,,USD,26.7,26.72,26.72,26.6,26.7,1956,26.72,26.72,26.6,26.7,1956,0,,,,,,,,,,,
Ticker,DX-P-A,2020-02-13,,USD,26.29,26.29,26.29,26.29,26.29,0,26.29,26.29,26.29,26.29,0,0,,,,,,,,,,,
Ticker,CPRI,2020-02-13,,USD,29.7,30.55,30.64,29.525,29.7,3218367,30.55,30.64,29.525,29.7,3218367,0,,,,,,,,,,,
Ticker,GOOS,2020-02-13,,USD,31,31.76,32.2,31,31,2973957,31.76,32.2,31,31,2973957,0,,,,,,,,,,,
Ticker,GPI,2020-02-13,,USD,97.9,95.46,98.1,95.3,97.9,131923,95.46,98.1,95.3,97.9,131923,0,,,,,,,,,,,
Ticker,LC,2020-02-13,,USD,13.26,13.22,13.3,12.9,13.26,491256,13.22,13.3,12.9,13.26,491256,0,,,,,,,,,,,
Ticker,ACCO,2020-02-13,,USD,10.14,10.25,10.62,9.96,10.14,1185763,10.25,10.62,9.96,10.14,1185763,0,,,,,,,,,,,
Ticker,ENZ,2020-02-13,,USD,2.27,2.19,2.33,2.19,2.27,83417,2.19,2.33,2.19,2.27,83417,0,,,,,,,,,,,
Ticker,ST,2020-02-13,,USD,49.31,49.34,50.01,49.24,49.31,2131073,49.34,50.01,49.24,49.31,2131073,0,,,,,,,,,,,
Ticker,GLOB,2020-02-13,,USD,126.08,124.44,126.8,123.9631,126.08,180412,124.44,126.8,123.9631,126.08,180412,0,,,,,,,,,,,
Ticker,SSW-P-E,2020-02-13,,USD,25.69,25.6696,25.72,25.64,25.69,4003,25.6696,25.72,25.64,25.69,4003,0,,,,,,,,,,,
Ticker,AM,2020-02-13,,USD,4.6,4.5,4.87,4.45,4.6,8382787,4.5,4.87,4.45,4.6,8382787,0,,,,,,,,,,,
Ticker,DO,2020-02-13,,USD,3.8,3.85,4.03,3.8,3.8,2321982,3.85,4.03,3.8,3.8,2321982,0,,,,,,,,,,,
Ticker,BBDO,2020-02-13,,USD,7.2022,7.178,7.2022,7.15,7.2022,495,7.16374648898577,7.18789843451843,7.13580208919591,7.18789843451843,495,0,,,,,,,,,,,
Ticker,GEO,2020-02-13,,USD,17.44,17.26,17.6,16.7283,17.44,1410055,17.26,17.6,16.7283,17.44,1410055,0.48,,,,,,,,,,,
Ticker,PRA,2020-02-13,,USD,33.23,32.93,33.28,32.6,33.23,168733,32.93,33.28,32.6,33.23,168733,0,,,,,,,,,,,
Ticker,BV,2020-02-13,,USD,16.08,16.19,16.35,15.98,16.08,142625,16.19,16.35,15.98,16.08,142625,0,,,,,,,,,,,
Ticker,FB,2020-02-13,,USD,213.14,209.5235,214.3259,209.18,213.14,15396625,209.5235,214.3259,209.18,213.14,15396625,0,,,,,,,,,,,
Ticker,GGZ-P-A,2020-02-13,,USD,26.0692,26.0692,26.0692,26.0692,26.0692,500,26.0692,26.0692,26.0692,26.0692,500,0,,,,,,,,,,,
Ticker,WBS,2020-02-13,,USD,47.58,46.92,47.61,46.8855,47.58,164146,46.92,47.61,46.8855,47.58,164146,0,,,,,,,,,,,
Ticker,ONDK,2020-02-13,,USD,4.01,3.97,4.03,3.88,4.01,668060,3.97,4.03,3.88,4.01,668060,0,,,,,,,,,,,
Ticker,THGA,2020-02-13,,USD,26.09,25.922,26.2,25.922,26.09,10705,25.922,26.2,25.922,26.09,10705,0,,,,,,,,,,,
Ticker,NTZ,2020-02-13,,USD,1.78,1.7538,1.79,1.739,1.78,1201,1.7538,1.79,1.739,1.78,1201,0,,,,,,,,,,,
Ticker,HLI,2020-02-13,,USD,57.15,56.83,57.4,56.73,57.15,189048,56.83,57.4,56.73,57.15,189048,0,,,,,,,,,,,
Ticker,TGS,2020-02-13,,USD,6.25,6.26,6.32,6.07,6.25,401202,6.26,6.32,6.07,6.25,401202,0,,,,,,,,,,,
Ticker,TRTX,2020-02-13,,USD,20.72,20.68,20.77,20.68,20.72,270702,20.68,20.77,20.68,20.72,270702,0,,,,,,,,,,,
Ticker,HLF,2020-02-13,,USD,39.66,38.42,40.52,38.3,39.66,1161330,38.42,40.52,38.3,39.66,1161330,0,,,,,,,,,,,
Ticker,HRC,2020-02-13,,USD,108.63,108.79,109.33,108.14,108.63,319718,108.79,109.33,108.14,108.63,319718,0,,,,,,,,,,,
Ticker,KTH,2020-02-13,,USD,33.43,33.43,33.43,33.43,33.43,0,33.43,33.43,33.43,33.43,0,0,,,,,,,,,,,
Ticker,WMS,2020-02-13,,USD,48.16,46.99,48.51,46.76,48.16,299304,46.99,48.51,46.76,48.16,299304,0,,,,,,,,,,,
Ticker,USM,2020-02-13,,USD,35.2,35.88,35.99,34.81,35.2,142808,35.88,35.99,34.81,35.2,142808,0,,,,,,,,,,,
Ticker,PLT,2020-02-13,,USD,14.77,14.82,14.8625,14.26,14.77,1749665,14.82,14.8625,14.26,14.77,1749665,0,,,,,,,,,,,
Ticker,GBL,2020-02-13,,USD,17.81,17.82,17.82,17.5,17.81,7051,17.82,17.82,17.5,17.81,7051,0,,,,,,,,,,,
Ticker,PYX,2020-02-13,,USD,4.28,4.5,4.64,4.2499,4.28,667205,4.5,4.64,4.2499,4.28,667205,0,,,,,,,,,,,
Ticker,RLJ-P-A,2020-02-13,,USD,28.97,28.96,29.0352,28.91,28.97,13236,28.96,29.0352,28.91,28.97,13236,0,,,,,,,,,,,
Ticker,GPK,2020-02-13,,USD,16.42,16.3,16.47,16.2,16.42,1673647,16.3,16.47,16.2,16.42,1673647,0,,,,,,,,,,,
Ticker,TOT,2020-02-13,,USD,49.19,49.12,49.37,48.96,49.19,2459442,49.12,49.37,48.96,49.19,2459442,0,,,,,,,,,,,
Ticker,EXC,2020-02-13,,USD,49.57,49.45,49.695,49.205,49.57,5165541,49.45,49.695,49.205,49.57,5165541,0,,,,,,,,,,,
Ticker,LOMA,2020-02-13,,USD,6.61,6.75,6.75,6.44,6.61,224981,6.75,6.75,6.44,6.61,224981,0,,,,,,,,,,,
Ticker,EROS,2020-02-13,,USD,2.86,2.87,2.93,2.75,2.86,1663993,2.87,2.93,2.75,2.86,1663993,0,,,,,,,,,,,
Ticker,TKC,2020-02-13,,USD,5.95,6.02,6.03,5.9,5.95,280166,6.02,6.03,5.9,5.95,280166,0,,,,,,,,,,,
Ticker,AAMC,2020-02-13,,USD,13.08,13.0767,13.08,13.0767,13.08,451,13.0767,13.08,13.0767,13.08,451,0,,,,,,,,,,,
Ticker,NG,2020-02-13,,USD,9.15,8.97,9.23,8.8806,9.15,1902211,8.97,9.23,8.8806,9.15,1902211,0,,,,,,,,,,,
Ticker,DLR-P-C,2020-02-13,,USD,26.9396,27.09,27.09,26.9,26.9396,5041,27.09,27.09,26.9,26.9396,5041,0,,,,,,,,,,,
Ticker,FHN,2020-02-13,,USD,16.65,16.55,16.73,16.5,16.65,2423601,16.55,16.73,16.5,16.65,2423601,0,,,,,,,,,,,
Ticker,AON,2020-02-13,,USD,234.58,230.91,234.59,230.76,234.58,790272,230.91,234.59,230.76,234.58,790272,0,,,,,,,,,,,
Ticker,AEE,2020-02-13,,USD,85.75,84.57,85.85,84.37,85.75,1069618,84.57,85.85,84.37,85.75,1069618,0,,,,,,,,,,,
Ticker,EPRT,2020-02-13,,USD,28.44,28.41,28.82,28.33,28.44,1276888,28.41,28.82,28.33,28.44,1276888,0,,,,,,,,,,,
Ticker,AVD,2020-02-13,,USD,17.46,17.49,17.59,17.25,17.46,111029,17.49,17.59,17.25,17.46,111029,0,,,,,,,,,,,
